Geography,Name,Level,Year,market_rate_units,mi_mod_units,low_income_units,unknown_units,total_units
QN 02,Woodside/Sunnyside,Community District,2010-2020,"11,386 (88%)",125 (1%),"1,363 (11%)",0 (0%),"12,874 (100%)"
QN 01,Astoria,Community District,2010-2020,"6,941 (92%)",131 (2%),438 (6%),0 (0%),"7,510 (100%)"
QN 07,Flushing/Whitestone,Community District,2010-2020,"2,670 (84%)",94 (3%),406 (13%),0 (0%),"3,165 (100%)"
QN 12,Jamaica/Hollis,Community District,2010-2020,589 (21%),735 (27%),"1,486 (54%)",0 (0%),"2,763 (100%)"
QN 04,Elmhurst/Corona,Community District,2010-2020,"1,500 (94%)",9 (1%),81 (5%),0 (0%),"1,590 (100%)"
QN 14,Rockaway/Broad Channel,Community District,2010-2020,715 (59%),72 (6%),428 (35%),0 (0%),"1,215 (100%)"
QN 06,Rego Park/Forest Hills,Community District,2010-2020,"1,038 (99%)",0 (0%),10 (1%),0 (0%),"1,048 (100%)"
QN 03,Jackson Heights,Community District,2010-2020,940 (93%),55 (5%),19 (2%),0 (0%),"1,014 (100%)"
QN 08,Hillcrest/Fresh Meadows,Community District,2010-2020,754 (94%),44 (6%),0 (0%),0 (0%),798 (100%)
QN 05,Ridgewood/Maspeth,Community District,2010-2020,636 (92%),53 (8%),6 (1%),0 (0%),695 (100%)
QN 09,Kew Gardens/Woodhaven,Community District,2010-2020,300 (60%),14 (3%),182 (37%),0 (0%),496 (100%)
QN 11,Bayside/Little Neck,Community District,2010-2020,92 (100%),0 (0%),0 (0%),0 (0%),92 (100%)
QN 10,South Ozone Park/Howard Beach,Community District,2010-2020,12 (80%),3 (20%),0 (0%),0 (0%),15 (100%)
QN 13,Queens Village,Community District,2010-2020,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%)
SI 01,St. George/Stapleton,Community District,2010-2020,256 (23%),13 (1%),862 (76%),0 (0%),"1,131 (100%)"
SI 02,South Beach/Willowbrook,Community District,2010-2020,54 (40%),0 (0%),160 (119%),0 (0%),135 (100%)
SI 03,Tottenville/Great Kills,Community District,2010-2020,18 (100%),0 (0%),0 (0%),0 (0%),18 (100%)
